,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,Chương 2: Những lời chào hàng hấp dẫn,,
,,,,,,,Những lời chào hàng triệu đô,8:27
,,,,,,,Những lời chào hàng siêu hấp dẫn,15:20
,,,,,,,Những lời chào hàng siêu hấp dẫn 2,9:09
,,,,,,,Liên minh huyền thoại,12:10
,,,,,,,Chào hàng hấp dẫn - tổng kết,Văn bản
,,,,,,Chương 3: Thăm dò thị trường,,
,,,,,,,Phân tích dữ liệu nhân khẩu học,11:32
,,,,,,,Bóc tách Similarweb,13:56
,,,,,,,Lên kế hoạch hiển thị với Google,6:50
,,,,,,,Do thám đối thủ cạnh tranh,9:22
,,,,,,,Black Pops,6:29
,,,,,,,Thăm dò thị trường - tổng kết,Văn bản
,,,,,,Chương 4: Sát thủ Trang đích,,
,,,,,,,Những quy tắc với Trang đích,13:31
,,,,,,,Trang đích hấp dẫn,12:42
,,,,,,,Làm chủ Dafont,14:34
,,,,,,,Kompozer Bulldozer,14:06
,,,,,,,Bí mật của  Squeeze Page,10:03
,,,,,,,Bí mật của  Squeze Page 2,12:46
,,,,,,,Cuộc cách mạng nhận sản phẩm bên ngoài,12:34
,,,,,,,Ma thuật của trang Audio Pal,7:45
,,,,,,,Sát thủ Trang đích - Tổng kết,Văn bản
,,,,,,Phần 5: Bùng nổ truy cập,,
,,,,,,,Chỉ đạo ảnh hưởng đến sự giận giữ,14:05
,,,,,,,Chỉ đạo ảnh hưởng đến sự giận giữ 2,16:02
,,,,,,,Sống lâu và phồn vinh,18:01
,,,,,,,Kết luận,4:17
,,,,,,,Bùng nổ truy cập - Tổng kết,Văn bản
,,,,,,Phần 6: Phụ lục,,
,,,,,,,Sách đen CPA - 7 lỗi sai lớn nhất của CPA,17 trang
,,,,,,,Bản đồ tư duy,1 page
,,,,,,,Ghi chép tay,24 trang
,,,,,,,Slide thuyết trình,1 page
,,,,,,,Tư liệu nghiên cứu của tôi,3 trang
,,,,,,,Trang đích Megapack - 37 ngóc ngách,
