,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,JIC 01-03 Hoạt động,1 trang
,,,,,,,"JIC 01-03 Audio
",0:19
,,,,,,,"JIC 01-04 Bảng từ mượn
",1:07
,,,,,,,JIC 01-04 Mô tả Bảng từ mượn,6:54
,,,,,,,"JIC 01-04 Hoạt động
",1 trang
,,,,,,,"JIC 01-04 Audio
",0:19
,,,,,,,"JIC 01-05 Ôn lại các Âm cơ bản
",4:47
,,,,,,,"JIC 01-01 Hoạt động
",4 trang
,,,,,,,"JIC 01-01 Audio
",2:04
,,,,,,,"JIC 01-06 Chào hỏi cơ bản và các Cụm từ
",6:52
,,,,,,,JIC 01-06 Hoạt động,1 trang
,,,,,,,"JIC 01-06 Audio
",1:03
,,,,,,,"JIC 01 Giải pháp Hoạt động
",1 trang
,,,,,,Phần 2: Con người và Đồ vật,,
,,,,,,,"JIC 02-01 Tiêu đề, Quốc tịch, Nghề nghiệp và Gia đình",7:26
,,,,,,,JIC 02-01 Hoạt động,3 trang
,,,,,,,JIC 02-01 Audio,1:09
,,,,,,,JIC 02-01 Góc Kanji,7:11
,,,,,,,JIC 02-02 Đại từ nhân xưng,4:50
,,,,,,,JIC 02-02 Hoạt động,2 trang
,,,,,,,JIC 02-02 Audio,0:11
,,,,,,,JIC 02-02 Góc Kanji,1:27
,,,,,,,JIC 02-03 Câu kể và Câu hỏi cơ bản,6:34
,,,,,,,JIC 02-03 Hoạt động,2 trang
,,,,,,,"JIC 02-04 Đây, Đó và Cũng",3:21
,,,,,,,JIC 02-04 Hoạt động,2 trang
,,,,,,,JIC 02-04 Audio,0:24
,,,,,,,JIC 02-04 Góc Kanji,4:23
,,,,,,,JIC 02 Giải pháp Hoạt động,2 trang
,,,,,,Phần 3: Kỹ năng sống hàng ngày,,
,,,,,,,JIC 03-01 Nói Có và Không,3:34
,,,,,,,JIC 03-01 Hoạt động,2trang
,,,,,,,JIC 03-01 Audio,0:24
,,,,,,,JIC 03-01 Góc Kanji,2:01
,,,,,,,JIC 03-02 Who and Whose,4:17
,,,,,,,JIC 03-02 Hoạt động,2 trang
,,,,,,,JIC 03-02 Audio,0:23
,,,,,,,JIC 03-02 Góc Kanji,1:17
,,,,,,,JIC 03-03 Cái gì và Cái nào,4:24
,,,,,,,JIC 03-03 Hoạt động,2 trang
,,,,,,,JIC 03-03 Audio,0:19
,,,,,,,JIC 03-03 Góc Kanji,3:11
,,,,,,,JIC 03-04 Ở đâu và Địa điểm,7:05
,,,,,,,JIC 03-04 Hoạt động,2 trang
,,,,,,,JIC 03-04 Audio,0:51
,,,,,,,JIC 03-04 Góc Kanji,6:21
,,,,,,,"JIC 03-05 Số đếm, Tuổi và Tiền",5:27
,,,,,,,JIC 03-05 Hoạt động,2 trang
,,,,,,,JIC 03-05 Audio,0:24
,,,,,,,JIC 03-05 Góc Kanji,1:25
,,,,,,,JIC 03-06 Thời gian,6:43
,,,,,,,JIC 03-06 Hoạt động,1 trang
,,,,,,,JIC 03-06 Audio,0:14
,,,,,,,JIC 03-06 Góc Kanji,2:54
,,,,,,,JIC 03-07 Time câu hỏis,4:22
,,,,,,,JIC 03-07 Hoạt động,1 trang
,,,,,,,JIC 03-07 Audio,0:15
,,,,,,,JIC 03-07 Góc Kanji,1:12
,,,,,,,JIC 03-08 Ngày và Tháng,6:17
,,,,,,,JIC 03-08 Hoạt động,2 trang
,,,,,,,JIC 03-08 Audio,1:37
,,,,,,,JIC 03-08 Góc Kanji,6:40
,,,,,,,JIC 03-09 Thích và Không thích,3:30
,,,,,,,JIC 03-09 Hoạt động,2 trang
,,,,,,,JIC 03-09 Audio,0:36
,,,,,,,JIC 03-09 Góc Kanji,6:11
,,,,,,,JIC 03 Giải pháp Hoạt động,4 trang
,,,,,,Phần 4: Mô tả,,
,,,,,,,JIC 04-01 Tính từ,8:29
,,,,,,,JIC 04-01 Hoạt động,2 trang
,,,,,,,JIC 04-01 Audio,0:48
,,,,,,,JIC 04-01 Góc Kanji,7:47
,,,,,,,JIC 04-02 Cấp độ Đặt câu hỏi và Nói bổ sung,5:13
,,,,,,,JIC 04-02 Hoạt động,2 trang
,,,,,,,JIC 04-02 Audio,0:38
,,,,,,,JIC 04-02 Góc Kanji,3:04
,,,,,,,JIC 04-03 Các tính từ được dùng như Danh từ,4:25
,,,,,,,JIC 04-03 Hoạt động,2  trang
,,,,,,,JIC 04-03 Audio,0:40
,,,,,,,JIC 04-03 Góc Kanji,4:40
,,,,,,,"JIC 04-04 Kinh nghiệm được chia sẻ, Nhấn Mạnh và Xác nhận",5:05
,,,,,,,JIC 04-04 Hoạt động,2  trang
,,,,,,,JIC 04-04 Audio,0:24
,,,,,,,JIC 04-04 Góc Kanji,0:20
,,,,,,,"JIC 04-05 Vẻ bề ngoài, Địa điểm và Tài năng",3:37
,,,,,,,JIC 04-05 Hoạt động,2 trang
,,,,,,,JIC 04-05 Audio,0:28
,,,,,,,JIC 04-05 Góc Kanji,4:04
,,,,,,,JIC 04-06 So sánh,4:11
,,,,,,,JIC 04-06 Hoạt động,1 trang
,,,,,,,JIC 04-06 Audio,0:04
,,,,,,,JIC 04-06 Góc Kanji,0:15
,,,,,,,JIC 04 Giải pháp Hoạt động,4 trang
,,,,,,Phần 5: Sự hiện hữu và Sở hữu đồ vật,,
,,,,,,,JIC 05-01 Đồ dùng sinh hoạt,6:24
,,,,,,,Chương trình học đầy đủ,
,,,,,,Lý lịch giảng viên,,
