,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Cách nói trang trọng và không trang trọng,3:54
,,,,,,,Kết thúc của động từ,6:10
,,,,,,,Điền vào chỗ trống với dạng kết thúc đúng của động từ,7 domande
,,,,,,,"Động từ: Nói
Xem trước ",3:07
,,,,,,,"Điền vào chỗ trống với các dạng đúng của động từ ""nói""",7 domande
,,,,,,,"Trật Tự Từ
Xem trước ",2:46
,,,,,,,Đặt câu theo thứ tự từ đúng,5 domande
,,,,,,,Các Quốc gia và Ngôn ngữ,5:01
,,,,,,,Số đếm từ 1 đến 20,1:28
,,,,,,,Cách tốt nhất để học và thực hành về số đếm,Testo
,,,,,,,"Thực hành Nói
Xem trước ",2:05
,,,,,,,Thực hành viết,Testo
,,,,,,,Chào hỏi - Từ vựng bổ sung,Testo
,,,,,,Phần 3: Nói về Gia đình của bạn,,
,,,,,,,"Nghề nghiệp, Gia đình, Sở thích",3:50
,,,,,,,Động từ: Giới thiệu,2:52
,,,,,,,"Các động từ: Đọc, Xem",2:49
,,,,,,,Điền vào các khoảng trống với các động từ liên hợp chính xác,9 domande
,,,,,,,Đại từ Sở hữu I,5:33
,,,,,,,Điền vào chỗ trống với các đại từ sở hữu đúng,7 domande
,,,,,,,Số đếm: từ 20 đến 100,3:09
,,,,,,,Nói Thích và Không thích,3:36
,,,,,,,Dạng phủ định: Không,2:59
,,,,,,,Đặt câu theo thứ tự từ đúng,6 domande
,,,,,,,"Thực hành Nói
Xem trước ",1:39
,,,,,,,Thực hành Viết,Testo
,,,,,,,Gia đình - Từ vựng bổ sung,Testo
,,,,,,Phần 4: Khám phá các vùng lân cận xung quanh bạn,,
,,,,,,,Đi bộ trong Thành phố,4:27
,,,,,,,Mạo từ Xác định và Không xác định,2:09
,,,,,,,Đại từ Sở hữu II,4:49
,,,,,,,Điền vào chỗ trống với các đại từ sở hữu đúng,4 domande
,,,,,,,Dạng phủ định: Chưa,3:14
,,,,,,,Thể Akkusativ,5:25
,,,,,,,,8 domande
,,,,,,,Điền dạng đúng của Akkusativ,3:03
,,,,,,,"Điền dạng đúng của động từ ""Có""",4 domande
,,,,,,,Giờ mở cửa,4:54
,,,,,,,Thực hành Nói,2:07
,,,,,,,Thực hành Viết,Testo
,,,,,,Phần 5: Đi đến Nhà hàng,,
,,,,,,,"Làm thế nào để gọi Món ăn và Đồ uống
Xem trước",4:48
,,,,,,,Một thực đơn đặc biệt,3:01
,,,,,,,Kết thúc của tính từ: Akkusativ,4:00
,,,,,,,Điền dạng đúng của các mạo từ và tính từ,9 domande
,,,,,,,Động từ: Muốn,3:31
,,,,,,,"Các động từ: Lấy, Ăn",2:20
,,,,,,,Động từ khuyết thiếu: Có thể,4:29
,,,,,,,Điền dạng đúng của động từ,10 domande
,,,,,,,Danh từ số nhiều,3:35
,,,,,,,"Động từ""Có"" và ""Giới thiệu"" ở thì Quá khứ (Thì quá khứ)",4:49
,,,,,,,"Điền dạng đúng của động từ ""Có"" và ""Giới thiệu"" (Thì quá khứ)",9 domande
,,,,,,,Thực hành Nói,2:05
,,,,,,,Thực hành Viết,Testo
,,,,,,,Món ăn - Từ vựng bổ sung,Testo
,,,,,,Phần 6: Miêu tả Thói quen hàng ngày của bạn,,
,,,,,,,Một ngày đặc biệt,6:38
,,,,,,,"Nói về Thời gian
Xem trước",2:54
,,,,,,,Đại từ nhân xưng  Akkusativ,3:30
,,,,,,,Điền vào chỗ trống với các đại từ nhân xưng đúng,7 domande
,,,,,,,Thì quá khứ hoàn thành,6:06
,,,,,,,"Điền dạng đúng của động từ ""Có"" và phân từ quá khứ",9 domande
,,,,,,,Thì quá khứ hoàn thành: Các động từ bất quy tắc,4:29
,,,,,,,Các động từ phân tách,4:55
,,,,,,,Điền vào chỗ trống với dạng đúng của động từ (hiện tại),6 domande
,,,,,,,Một ngày đặc biệt - Thì quá khứ,4:54
,,,,,,,"Điền dạng đúng của động từ ""Có"" hoặc ""Giới thiệu"" + phân từ quá khứ",9 domande
,,,,,,,Dạng phủ định của các động từ thì quá khứ,2:55
,,,,,,,Thực hành Nói,3:23
,,,,,,,Thực hành Viết,Testo
,,,,,,Phần 7: Đi du lịch,,
,,,,,,,Thời tiết,5:12
,,,,,,,Mua Vé,3:45
,,,,,,,Động từ khuyết thiếu: Muốn,3:22
,,,,,,,Giới từ chỉ hướng,2:49
,,,,,,,Điền vào chỗ trống với các giới từ chỉ hướng đúng,6 domande
,,,,,,,Từ nối: Đó/ vì,6:51
,,,,,,,"Điền vào chỗ trống với các từ ""Đó"" hoặc ""Vì""",8 domande
,,,,,,,Thể Dativ,6:29
,,,,,,,"Điền vào chỗ trống với dạng đúng của ""Dativ""",9 domande
,,,,,,,Di chuyển và Địa điểm ,5:33
,,,,,,,"Chọn dạng đúng của từ ""ở""",7 domande
,,,,,,,Tháng trong năm,2:39
,,,,,,,Thực hành Nói,2:48
,,,,,,,Thực hành Viết,Testo
,,,,,,,Quần áo - Từ vựng bổ sung,Testo
,,,,,,Phần 8: Hẹn Gặp,,
,,,,,,,Gọi cho Bác sĩ,3:24
,,,,,,,Bộ phận cơ thể,2:47
,,,,,,,Ra ngoài với Bạn bè,5:08
,,,,,,,Động từ khuyết thiếu: Cần phải,3:06
,,,,,,,Đại từ nhân xưng Dativ,4:34
,,,,,,,Điền vào chỗ trống với đại từ nhân xưng đúng,8 domande
,,,,,,,Các động từ với Dativ và Akkusativ,3:19
,,,,,,,Điền vào chỗ trống với dạng đúng (Dativ/Akkusativ),9 domande
,,,,,,,Đọc Ngày Tháng,5:47
,,,,,,,Nhiều hơn Giới từ với Dativ,4:09
,,,,,,,Điền vào chỗ trống với giới từ đúng,9 domande
,,,,,,,Thực hành Nói,2:57
,,,,,,,Thực hành Viết,Testo
,,,,,,,Cơ thể - Từ vựng bổ sung,Testo
,,,,,,Phần 9: Kết luận và các bước tiếp theo,,
,,,,,,,Chúc mừng!,1:20
,,,,,,,Chương trình dạy đầy đủ,
,,,,,,Lý lịch giảng viên,,
