,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Văn bản Kinh thánh: Người xứ Galati 2: 1-14,1 trang
,,,,,,,Buổi 3: Người xứ Galati 2: 1-14 bởi N.T.Wright,17:27
,,,,,,,Văn bản Kinh thánh: Người xứ Galati 2: 15-24,1 câu hỏi
,,,,,,,Buổi 4: Người xứ Galati 2: 15-21 bởi N.T.Wright,18:01
,,,,,,,Hỏi nhanh 2: Người xứ Galati 2: 1-21,7 câu hỏi
,,,,,,,Những câu hỏi thảo luận chính để cân nhắc từ Người xứ Galati phần 2,văn bản
,,,,,,Phần 4: Người xứ Galati chương 3,,
,,,,,,,Văn bản Kinh thánh: Người xứ Galati 3: 1-9,1 trang
,,,,,,,Buổi 5: Người xứ Galati 3: 1-9 bởi N.T.Wright,16:44
,,,,,,,Văn bản Kinh thánh: Người xứ Galati 3: 10-18,1 trang
,,,,,,,Buổi 6: Người xứ Galati 3: 10-18 bởi N.T.Wright,17:40
,,,,,,,Văn bản Kinh thánh: Người xứ Galati 3: 19-29,1 trang
,,,,,,,Buổi 7: Người xứ Galati 3: 19-29 bởi N.T.Wright,16:52
,,,,,,,Hỏi nhanh 3: Người xứ Galati 3: 1-29,8 câu hỏi
,,,,,,,Những câu hỏi thảo luận chính để cân nhắc từ Người xứ Galati phần 3,văn bản
,,,,,,Phần 5: Người xứ Galati chương 4,,
,,,,,,,Văn bản Kinh thánh: người xứ Galati 4: 1-11,1 trang
,,,,,,,Buổi 8: Người xứ Galati 4: 1-11 bởi N.T.Wright,17:43
,,,,,,,Văn bản Kinh thánh: người xứ Galati 4: 12-5:1,2 trang
,,,,,,,Sơ đồ cho người xứ Galati 4: 21-31,1 trang
,,,,,,,Buổi 9: Người xứ Galati 4: 12-5:1bởi N.T.Wright,17:20
,,,,,,,Hỏi nhanh 4: người xứ Galati 4: 1-5:1,11 câu hỏi
,,,,,,,Những câu hỏi thảo luận chính để cân nhắc từ Người xứ Galati phần 4,văn bản
,,,,,,Phần 6: Người xứ Galati chương 5,,
,,,,,,,Văn bản Kinh thánh: người xứ Galati 5: 2-15,1 trang
,,,,,,,Buổi 10: Người xứ Galati 5: 2-15 bởi N.T.Wright,17:23
,,,,,,,Văn bản Kinh thánh: người xứ Galati 5: 16-26,1 trang
,,,,,,,Buổi 11: Người xứ Galati 5: 16-26 bởi N.T.Wright,13:51
,,,,,,,Hỏi nhanh 5: người xứ Galati 5: 2-26,8 câu hỏi
,,,,,,,Những câu hỏi thảo luận chính để cân nhắc từ Người xứ Galati phần 5,Văn bản
,,,,,,Phần 7: Người xứ Galati 6 và những vấn đề cuối,,
,,,,,,,Văn bản Kinh thánh: Người xứ Galati 6: 1-18,1 trang
,,,,,,,Buổi 12: Người xứ Galati 6: 1-18 bởi N.T.Wright,17:34
,,,,,,,Hỏi nhanh 6: Người xứ Galati 6 và toàn bộ Người xứ Galati,8 câu hỏi
,,,,,,,Buổi 13: Hỏi đáp với giáo sư N.T.Wright và giáo sư David Seemuth,9:32
,,,,,,,Hỏi nhanh về toàn bộ các yêu cầu đạt được khi hoàn thành khóa học,1 câu hỏi
,,,,,,Tiểu sử người hướng dẫn,,
