,,,,,,,,
,,,,,,,Tinh thần quá tải? Đừng căng thẳng!,2:17
,,,,,,,Các câu hỏi kiểm tra chung nhất,10 câu hỏi
,,,,,,Phần 3: Quản lý Truy cập Danh tính (IAM),,
,,,,,,,Các khái niệm IAM ,3:12
,,,,,,,Cấu hình IAM cho tài khoản của bạn,16:37
,,,,,,,Tích hợp thư mục hoạt động,3:15
,,,,,,,IAM - Tóm tắt,1:18
,,,,,,,IAM - Câu hỏi trắc nghiệm,7 câu hỏi
,,,,,,"Phần 4: Hệ thống lưu trữ đối tượng AWS và CDN - S3,  Glacier and CloudFront",,
,,,,,,,Phần mềm S3 Essentials,12:12
,,,,,,,Tạo ra một thùng chứa S3,4:23
,,,,,,,Kiểm soát phiên bản S3,6:06
,,,,,,,Quản lý Cycle Life S3 và Glacier ,7:12
,,,,,,,Tổng quan về Cloud Front,4:46
,,,,,,,Tạo ra một hệ thống máy chủ [Content Delivery Network],9:42
,,,,,,,S3 - Tóm tắt,2:35
,,,,,,,S3 - Câu hỏi kiểm tra,11 câu hỏi
,,,,,,"Phần 5: Dịch vụ điện toán đám mây của Amazon, Amazon Elastic Computer [EC2] - Thư viện Javascript của AWS",,
,,,,,,,Giới thiệu và khái quát,12:19
,,,,,,,Chúng ta hãy cùng tham gia nào! Khởi động phiên bản EC2,19:31
,,,,,,,Cơ bản Thông tin bảo mật Nhóm,7:59
,,,,,,,Âm lượng và thiết bị chụp nhanh,14:06
,,,,,,,Tạo một phiên bản EC2 Windows và Nhóm RAID,11:22
,,,,,,,Tạo một Amazon Machine Image [AMI],7:46
,,,,,,,Cân bằng tải và Kiểm tra tình trạng máy chủ,9:23
,,,,,,,Cloud Watch EC2,8:18
,,,,,,,Dòng lệnh AWS và EC2,12:25
,,,,,,,Sử dụng các vai trò của IAM cùng với EC2,9:46
,,,,,,,Sử dụng các tập lệnh tự khởi động,6:14
,,,,,,,Phiên bản siêu dữ liệu EC2,2:18
,,,,,,,Khởi động các nhóm Config,3:54
,,,,,,,Tự động cân bằng 101,13:27
,,,,,,,Việc gộp nhóm hợp lý của các phiên bản EC2 - Một bài kiểm tra cần phải biết!,3:16
,,,,,,,Lambda - Các khái niệm,8:17
,,,,,,,Tóm tắt về EC2,3:40
,,,,,,,Câu hỏi kiểm tra về EC2,9 câu hỏi
,,,,,,Phần 6: Route53,,
,,,,,,,Giới thiệu và khái quát về Route53,19:43
,,,,,,,Câu hỏi kiểm tra về Route53,5 câu hỏi
,,,,,,Phần 7: Các cơ sở dữ liệu trên AWS,,
,,,,,,,Giới thiệu và khái quát,12:22
,,,,,,,Khởi động phiên bản Cơ sở dữ liệu quan hệ [RDS],12:06
,,,,,,,Kết nối Dịch vụ Cơ sở dữ liệu quan hệ [RDS] bằng việc sử dụng các nhóm bảo mật,18:26
,,,,,,,DynamoDB,12:45
,,,,,,,RedShift,9:30
,,,,,,,Elasticache,2:25
,,,,,,,Aurora,2:51
,,,,,,,Tóm tắt về Cơ sở dữ liệu,5:34
,,,,,,,Câu hỏi kiểm tra về Cơ sở dữ liệu,10 câu hỏi
,,,,,,Phần 8: Virtual Private Cloud [VPC],,
,,,,,,,Giới thiệu và khái quát,9:28
,,,,,,,Xây dựng VPC tùy chỉnh riêng của bạn,19:40
,,,,,,,Quá trình chuyển đổi địa chỉ mạng [NAT],10:29
,,,,,,,Các danh sách quản lý truy cập ,7:11
,,,,,,,Tóm tắt,4:45
,,,,,,,Câu hỏi kiểm tra về VPC,5 câu hỏi
,,,,,,Phần 9: Các dịch vụ ứng dụng,,
,,,,,,,Dịch vụ gửi thông điệp đơn giản [Simple Queue Service],13:03
,,,,,,,Định dang Web Nhỏ [Small Web Format],4:39
,,,,,,,Dịch vụ để cập nhật các mạng xã hội [Social Network Sevice],6:49
,,,,,,,Tóm tắt về các Dịch vụ ứng dụng,6:10
,,,,,,,Câu hỏi kiểm tra về các Dịch vụ ứng dụng,10 câu hỏi
,,,,,,Phần 10: Thế giới thực - Tạo vị trí WordPress chịu lỗi của ứng dụng,,
,,,,,,,Chuẩn bị,17:05
,,,,,,,EC2 và cài đặt Wordpress,19:51
,,,,,,,Tạo AMI của riêng bạn - Phần 1,19:36
,,,,,,,Tạo AMI của riêng bạn - Phần 2,11:12
,,,,,,,Tự động cân bằng và Kiểm thử,12:00
,,,,,,Phần 11: Chuẩn bị cho kỳ thi - Xem lại giấy trắng,,
,,,,,,,Khái quát về các dịch vụ Web của Amazon,5:56
,,,,,,,Khái quát về quá trình bảo mật - Phần 1,13:44
,,,,,,,Khái quát về quá trình bảo mật - Phần 2,7:33
,,,,,,,Các rủi ro và việc tuân thủ AWS,5:20
,,,,,,,Hệ thống lưu trữ tùy chọn trong Điện toán đám mây,7:36
,,,,,,,Việc kiến trúc cho Điện toán đám mây trên AWS: Các bài thực hành tốt nhất,11:51
,,,,,,,Các bài thi thiết thực,2:42
,,,,,,,Câu hỏi trắc nghiệm tổng quát 1,54 câu hỏi
,,,,,,"Phần 2: Cảm ơn, Chúc may mắn và Hẹn gặp lại!",,
,,,,,,,Cảm ơn bạn cùng với tất các học viên của tôi.,3:48
,,,,,,,Câu hỏi kiểm tra tổng quát 2 -  Các câu hỏi khó.,22 câu hỏi
,,,,,,,Các câu hỏi dựa trên tình huống (và cũng là các câu hỏi khó),20 câu hỏi
