Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
,,,"Phần khó nhất trong công việc của một nhà thiết kế là có thể tạo ra một biểu tượng mà khách hàng sẽ hài lòng về nó. Điều quan trọng là biết làm thế nào để hiểu được mong đợi của khách hàng, và sử dụng các công cụ thích hợp để phác ra các ý tưởng thật nhanh chóng. Là một nhà thiết kế, bạn cũng nên biết làm thế nào để xác định đúng vị trí văn bản và chọn đúng màu sắc và phông chữ. Chúng thể hiện bộ mặt của doanh nghiệp một cách tốt nhất và chính xác nhất.",,,,,Ghi chú: Làm thế nào để chụp màn hình trên Mac hoặc PC,Text,Text,
,,,Nội dung và tổng quan,,,,,Thu thập hình ảnh và tạo ra moodboards,1:05,Video,
,,,"Khóa học này chứa hơn 42 bài giảng và 2,5 giờ nội dung, cung cấp từng bước các hướng dẫn về thiết kế logo. Bạn phải chưa có kinh nghiệm gì về thiết kế logo. Tuy nhiên, bạn cũng nên có một phiên bản dùng thử đầy đủ hoặc miễn phí của Adobe Illustrator ngay cả khi bạn không cần có kiến ​​thức trước khi làm việc với chương trình này.",,,,,Lập bản đồ tư duy để tạo ra ý tưởng,1:10,Video,
,,,"Bạn sẽ nhận được một eBook 61 trang dạy làm thế nào để thiết kế logo, cũng như cách làm thế nào để nhận được một yêu cầu thiết kế logo từ khách hàng. Sau đó, bạn sẽ tìm hiểu cách tìm tài liệu tham khảo và hình ảnh phác thảo ý tưởng.",,,,,"Cách khác để tạo ra ý tưởng
Xem trước ",1:33,Video,
,,,,,,,Phần 5: Phác thảo ý tưởng,,,Video,
,,,"Sau khi hoàn thành khóa học này, bạn sẽ hiểu được cách vẽ ra bản đồ tư duy (mind map) và mood board. Bạn sẽ biết làm thế nào để tạo ra các biểu tượng độc đáo, thêm các yếu tố vào một từ, sử dụng các hình dạng hình học và chữ viết tắt, và đặt văn bản vào đúng vị trí hợp lý.",,,,,Giới thiệu về phác thảo ý tưởng,0:35,Video,
,,,"Người học sẽ nắm được các vấn đề cơ bản của Illustrator, biết chỗ để tìm thấy phông chữ miễn phí và tạo logo với màu đen trắng, theo các định dạng khác nhau. Bạn cũng sẽ nhận được bí quyết khi gửi ý tưởng cho khách hàng, thay đổi và hoàn thiện logo, và định giá cho công việc của bạn. Tất cả những kỹ năng này sẽ khiên bạn trở thành một nhà thiết kế được đánh giá cao hoặc cho phép bạn sử dụng sự sáng tạo của mình để tạo logo cho riêng bạn.",,,,,Thêm yếu tố vào một từ,3:35,Video,
,,,,,,,,Làm thế nào để tạo ra một biểu tượng (bài tập thực hành),1:47,Video,
,,,,,,,,Tạo ra một biểu tượng,1:34,Video,
,,,,,,,,Bố trí văn bản logo phổ biến,0:58,Video,
,,,,,,,,Sử dụng tên viết tắt của công ty,1:21,Video,
,,,,,,,,Sử dụng các chữ cái đầu tiên của tên công ty,0:52,Video,
,,,,,,,,Sử dụng các hình dạng hình học,1:07,Video,
,,,,,,,,Tổng hợp phác thảo và lựa chọn những ý tưởng tốt nhất,0:47,Video,
,,,,,,,Phần 6: Tất cả về phông chữ và Typography,,,,
,,,,,,,,Giới thiệu về phông chữ,3:35,Video,
,,,,,,,,Tìm phông chữ miễn phí cho mục đích thương mại,2:36,Video,
,,,,,,,Phần 7: Khái niệm cơ bản về Adobe Illustrator ,,,,
,,,,,,,,Khái niệm cơ bản về Adobe Illustrator,20:10,Video,
,,,,,,,Phần 8: Làm logo đen trắng trong Illustrator,,,,
,,,,,,,,Làm logo đen trắng trong Illustrator phần 1,13:43,Video,
,,,,,,,,Làm logo đen trắng trong Illustrator phần 2,13:14,Video,
,,,,,,,,Làm logo đen trắng trong Illustrator phần 3,18:58,Video,
,,,,,,,,Tất cả các logo đen trắng,0:23,Video,
,,,,,,,Phần 9: Làm logo màu,,,,
,,,,,,,,Loại màu,4:05,Video,
,,,,,,,,Đổ màu lên logo,5:26,Video,
,,,,,,,,Tất cả các logo màu,1:49,Video,
,,,,,,,Phần 10: Gửi thiết kế logo đến khách hàng,,,,
,,,,,,,,Gửi logo cho khách hàng.,1:20,Video,
,,,,,,,,Khách hàng phản hồi.,5:40,Video,
,,,,,,,,Ghi chú: Phản hồi thiết kế logo từ khách hàng.,40.46 KB,Video,
,,,,,,,Phần 11: Chỉnh sửa và hoàn thiện thiết kế Logo,,,,
,,,,,,,,Chỉnh sửa và hoàn thiện.,5:26,Video,
,,,,,,,,Thiết kế định dạng logo khác nhau cho khách hàng.,2:59,Video,
,,,,,,,"Phần 12: Định giá, hóa đơn và Admin",,,,
,,,,,,,,Định giá một dự án thiết kế logo,2:31,Video,
,,,,,,,,Định giá mẫu thiết kế logo và tiền thù lao,89.38 KB,Document,
,,,,,,,,Hóa đơn mẫu thiết kế logo ,63.97 KB,Document,
,,,,,,,Phần 13: Cảm ơn bạn.,,,,
,,,,,,,,Cảm ơn bạn.,0:20,Video,
,,,,,,,Phần 14: Downloads và Briefs Sample,,,,
,,,,,,,,Định vị loại logo (Arial),159.52 KB,Document,
,,,,,,,,Yêu cầu thiết kế mẫu logo giả định cho một công ty ứng dụng.,46.62 KB,Document,
,,,,,,,,Yêu cầu thiết kế mẫu logo giả định cho một công ty thức ăn vật nuôi.,46.29 KB,Document,
,,,,,,,,Thêm video cho việc lấy ý tưởng  (dựa trên các câu hỏi của người học),Text,Text,
