Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
,,,Bạn có sự kiên trì để không từ bỏ,,Xây dựng một nhóm người hâm mộ,,,Thay đổi nhận thức: Kiến tạo lại tư duy của bạn để thành công,8:49,Video,
,,,Bạn bước vào phòng cùng với sự tự tin và bình tĩnh,,,,,Giọng nói của bạn: đào tạo công cụ tốt nhất của cơ thể,9:12,Video,
,,,Bạn thể hiện bản thân một cách tự nhiên,,,,,"Giọng nói của bạn: các bài tập cho sự rõ ràng, linh hoạt, và phạm vi",6:06,Video,
,,,Bạn kiểm soát được sự chú ý của khán giả,,,,,Khởi động giọng nói cùng với khách mời đặc biệt Tessa Auberjonois,11:30,Video,
,,,Bạn có được sự sâu sắc đích thực và sự trung thực,,,,,Cơ thể bạn: làm thế nào để mang bản thân tới thế giới?,6:12,Video,
,,,"Bạn sử dụng TẤT CẢ những kĩ năng có sẵn của mình, nhưng tốt hơn trước",,,,,Cơ thể bạn: luyện tập để xây dựng sức mạnh và sự bình tĩnh,3:59,Video,
,,,Bạn tạo ra những cách mới và sáng tạo cho việc kinh doanh của mình,,,,,Củng cố những điều cốt lõi của bạn cùng với vị khách mời đặc biệt Carlos requejo,11:00,Video,
,,,Bạn bắt đầu mở ra những cơ hội của riêng mình,,,,,Phong cách đặc trưng của bạn: Làm thế nào để ăn mặc ấn tượng,2:52,Video,
,,,Bạn đứng trước camera một cách dễ dàng,,,,Phần 3: Xây dựng sự tự tin không thể cưỡng lại được,,,,
,,,Bạn loại bỏ hẳn những suy nghĩ tiêu cực trong đầu mình,,,,,Xây dựng sự tự tin: nó có ý nghĩa gì và tại sao nó lại là vấn đề?,3:11,Video,
,,,"Khi mà bạn đã vượt qua được nỗi sợ hãi và sự nghi ngờ, bạn sẽ làm chủ được sức mạnh của bản thân. Khi kết nối với mục đích của mình, bạn sẽ cháy lên niềm đam mê. Khi có được sự tự tin, bạn sẽ đi theo vận mệnh của mình.",,,,,Trí tuệ của cơ thể bạn: Giới thiệu về kiểm tra năng lượng cơ bắp,5:12,Video,
,,,"Khá đơn giản, khi bạn tỏa sáng, cả thế giới sẽ phải chú ý và những cơ hội đến với bạn một cách dễ dàng",,,,,Kiểm tra năng lượng cơ bắp: Thao tác mẫu,6:05,Video,
,,,"Nhưng trước tiên - điều quan trọng trong quá trình này là: Bạn có sẵn lòng bắt đầu? Bạn đã sẵn sàng rồi chứ? Bạn đã sẵn sàng để thoát khỏi bóng tối, bước ra ngoài trời nắng ấm để cảm nhận sự khác biệt trong cuộc sống của mình?",,,,,Sự tự tin ngay lập tức: Những mẹo để làm chủ sự tuyệt vời của bản thân,5:27,Video,
,,,"Tôi đã sẵn sàng, sẵn sàng thấy bạn làm điều đó. Và tôi tin bạn cũng có thể thực hiện nó. Bạn không cần đi một mình. Hãy bắt đầu ngay từ bây giờ, cùng nhau.",,,,,Thắng lợi lớn của tôi: Câu chuyện thành công cá nhân,6:50,Video,
,,,,,,,,Khẳng định công việc: làm thế nào để tạo ra những mẩu ghi chú có hiệu quả,4:28,Video,
,,,,,,,,Bí mật của thành công: làm thế nào để nuôi dưỡng lòng biết ơn,4:31,Video,
,,,,,,,Phần 4: Nghệ thuật đối thoại thông thường,,,,
,,,,,,,,"Nghệ thuật đối thoại thông thường: Giới thiệu
Xem trước",5:14,Video,
,,,,,,,,Giải trí số: làm thế nào để thể hiện trong từng khoảnh khắc,6:26,Video,
,,,,,,,,Làm thế nào để tạo ấn tượng đầu tiên tốt,6:05,Video,
,,,,,,,,Làm thế nào để đối phó với các thách thức đối thoại ,6:17,Video,
,,,,,,,,Làm thế nào để đối phó với các thách thức đối thoại ,6 pages,Document,
,,,,,,,,Cơ hội để luyện tập NGAY BÂY GIỜ,7:26,Video,
,,,,,,,Phần 5: Trở thành một người bán hàng xuất sắc - dễ dàng & đích thực,,,,
,,,,,,,,Làm thế nào để lắng nghe và có nhiều bạn hơn sự kết nối - bán hàng,4 pages,Document,
,,,,,,,,Mọi thứ để bán... vậy vấn đề là gì?,2:54,Video,
,,,,,,,,"Kết nối lại với "" ngọn lửa "" trong bạn: Làm thế nào để tìm ra nguồn sáng của bạn",6:34,Video,
,,,,,,,,Sẵn sàng! làm sao để thúc đẩy bạn lên?,10:05,Video,
,,,,,,,,Trở nên khó quên: Sức mạnh của việc lắng nghe,7:51,Video,
,,,,,,,,Vũ khí bí mật: Làm thế nào để xác định khách hàng lý tưởng của bạn,7:45,Video,
,,,,,,,,"Tôi biết, đôi khi nó khiến bạn tốn thương: làm thế nào để đối phó với sự từ chối",10:15,Video,
,,,,,,,Phần 6: làm thế nào để truyền tải bài thuyết trình tuyệt vời,,,,
,,,,,,,,Mơ lớn! Làm thế nào để hình dung ra chính mình trên sân khấu,3:13,Video,
,,,,,,,,Làm thế nào để hoàn thành xuất sắc cuộc phỏng vấn tiếp theo của bạn,8:29,Video,
,,,,,,,,làm thế nào để thực hiện các bài thuyết trình Power point LÔI CUỐN,10:19,Video,
,,,,,,,,Bài tập chuẩn bị: Sáu chìa khóa thành công,9:30,Video,
,,,,,,,,Làm thế nào để đối phó với những lo lắng,2:41,Video,
,,,,,,,,Cứu trợ tức thì: Kỹ thuật giữ vững tâm lý,9:06,Video,
,,,,,,,Phần 7: Tạo ra video: Làm thế nào để cảm thấy thoải mái khi đứng trước máy quay,,,,
,,,,,,,,"Tỏa sáng trước máy ghi hình: Giới thiệu
Xem trước",2:41,Video,
,,,,,,,,Sức mạnh của video,6:02,Video,
,,,,,,,,Tất cả các cách để tận dụng video ngay bây giờ,6:31,Video,
,,,,,,,,Trang thiết bị,9:01,Video,
,,,,,,,,Thao tác mẫu với video trên Ipad,2:44,Video,
,,,,,,,,Các loại video để sáng tạo,5:51,Video,
,,,,,,,,Năm mẹo để tỏa sáng,0:49,Video,
,,,,,,,Phần 8: Chúc mừng,,,,
,,,,,,,,QUÀ TẶNG THÊM vì đã hoàn thành khóa học,2:50,Video,
,,,,,,,Phần 9: NỘI DUNG TẶNG THÊM: bài giảng với khách mời và phỏng vấn,,,,
,,,,,,,,Cuộc phỏng vấn của tôi với Bogdan Vaida: Giảng viên ngôi sao,38:11:00,Video,
,,,,,,,,Lợi ích của phỏng vấn qua Skype cùng với Bogdan Vaida,1:34,Video,
,,,,,,,,Những lời khuyên thiết thực cho việc lập kế hoạch - chuẩn bị cho cuộc phỏng vấn đầu tiên,1:10,Video,
,,,,,,,,Làm thế nào để định cấu hình Skye - ScreenFlow (một ứng dụng ghi lại màn hình) cho ghi hình - chỉnh sửa cùng với Bogdan Vaida,1:30,Video,
,,,,,,,,Cuộc phỏng vấn của tôi với Bogdan: Làm thế nào để chỉnh sửa cuộc phỏng vấn qua skype của bạn,8:25,Video,
,,,,,,,,HÀNH ĐỘNG: Ghi âm lại cuộc phỏng vấn qua Skype của chính bạn,0:41,Video,
