Không cần phải có trước những kiến thức cần thiết hay tài liệu bắt buộc nào.,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
,,,""" Cái nhìn tổng quan cho những người bạn của tôi - những người gặp khó khăn với giấc ngủ"" - Reid Hoffman, người sáng lập Linkedln",,,,,Làm thế nào để các bài tập ảnh hướng đến chất lượng giấc ngủ,6:52,Video,
,,,"""Một vài ý tưởng hay ho ở đây sẽ giúp bạn có được một giấc ngủ đêm tốt hơn"" - Jeff Weiner - giám đốc điều hành của Linkedln",,,,,Tính nhất quán ( Phiên bản anh hùng cuối tuần),2:01,Video,
,,,Không tin tôi sao? Hãy nhìn những bằng chứng ở đây.,,,,,Tối ưu hóa sự tiếp xúc ánh sáng mỗi ngày,5:50,Video,
,,,"Tôi chỉ nói sơ qua về những gì tôi đã tìm hiểu trong bài thuyết trình này nên tôi quyết định thực hiện một lớp học riêng, nhỏ thôi, để kiểm tra một vài người xem ai có hứng thú với lớp học. Và đây là những gì mọi người nói :",,,,,Tối ưu hóa sự tiếp xúc ánh sáng mỗi tối,3:14,Video,
,,,""" Qua khóa học 7 ngày này, giấc ngủ của tôi đã được cải thiện. Trong khoảng thời gian hơn 8 tiếng trên giường, trước đây tôi ngủ sâu được từ 4 tới 5 tiếng, giờ đã lên tới 7 tiếng rưỡi. Cảm ơn Scott, cảm ơn rất nhiều vì bài giảng này cũng như những thông tin ngắn gọn và những vấn đề chi tiết"" - Dana M",,,,,Tặng kèm miễn phí: Khóa học thêm,1:58,Video,
,,,"""Scott cung cấp một phương pháp rõ ràng và có thể áp dụng để có một giấc ngủ sâu. Thói quen của tôi đã thay đổi đáng kể"" - Sean C",,,,Phần 4: Tìm hiểu kĩ hơn về mối liên hệ giữa tiêu hóa và giấc ngủ,,,,
,,,""" Một khóa học đáng để tham gia nếu như bạn đang gặp vấn đề với với giấc ngủ của mình. Tôi cảm thấy có nhiều năng lượng hơn và bớt đi những phiền muộn kể từ khi nghỉ ngơi nhiều hơn và chuẩn bị cho cả một ngày dài. Tôi đã không hề nhận ra rằng giấc ngủ lại có ảnh hưởng nhiều như thế. Bài học của Scott rất ngắn gọn và dễ theo dõi. Tất cả các thông tin đều rất thực tế. Cơ thể của bạn sẽ biết ơn điều đó "" - Aishwarya N",,,,,Những điều cơ bản về chất kích thích,4:02,Video,
,,,"Tôi lấy thông tin và phản hồi từ lớp học này, mở rộng nó để cung cấp cho các bạn lớp học cao cấp cuối cùng ở đây.",,,,,Sự ảnh hưởng của rượu và cách giảm nhẹ hậu quả,2:52,Video,
,,,Trong khóa học này bạn sẽ được tìm hiểu về :,,,,,Sự quan trọng của Hydrat hóa,3:51,Video,
,,,làm thế nào để có được một giấc ngủ ngon để bạn có thể cảm thấy được sự nghỉ ngơi thực sự,,,,,"Ăn được, ngủ được, là...",2:48,Video,
,,,Hàng loạt những việc đơn giản (và kì lạ) bạn có thể thực hiện với cái đèn để có được mức năng lượng cao hơn và giấc ngủ tốt hơn,,,,,Hỗ trợ giấc ngủ,2:17,Video,
,,,"Làm sao để thay đổi sự chủ động, mức tiêu thụ, môi trường để có được một giấc ngủ tốt.",,,,Phần 5: Không gian ngủ và những thực hành tốt nhất,,,,
,,,"Cách hay nhất để cảm thấy buồn ngủ, ngủ trưa và không làm bạn tỉnh giấc sáu lần một đêm",,,,,Nhiệt độ giấc ngủ hoàn hảo,2:04,Video,
,,,Bản kế hoạch chi tiết thực hiện những thứ tôi sẽ chỉ cho bạn để có thể ngủ được ngay lập tức.,,,,,Vượt qua sự ồn ào,1:45,Video,
,,,"Dễ dàng để theo dõi những module video, có cả bản PDF để bạn có thế đi theo tốc độ học mà bạn thích.",,,,,Giường là thánh địa của bạn,2:47,Video,
,,,"Không quan trọng bạn là ai, tôi đảm bảo bạn sẽ học được ít nhất một điều từ lớp học này (hãyxem ý kiến của những người đã tham gia lớp học bạn sẽ biết). Chú ý rằng nếu mất ngủ mãn tính thì bạn nên tìm kiếm những hướng dẫn chuyên nghiệp hơn thay vì tham gia ở đây.",,,,,Tối ưu việc hô hấp cho giấc ngủ,3:29,Video,
,,,Chính tôi sẽ trả lời bất kì câu hỏi nào bạn đưa ra khi xem tài liệu vì thế đừng lo lắng khi bạn không nắm bắt được toàn bộ thông tin và áp dụng nó vào cuộc sống của mình. Hãy đăng kí ngay bây giờ nào.,,,,,Tư thế ngủ,1:08,Video,
,,,Scott Britton,,,,"Phần 6: Thức dậy, chợp mắt và buồn ngủ",,,,
,,,P/s: Đây chắc chắn là một mức giá khuyến mãi để xây dựng lớp với những nhận xét tích cực,,,,,Chìa khóa để cảm thấy thoải mái sau khi thức giấc,4:33,Video,
,,,Tôi tin rằng bài học này sx rất thành công nên tôi có dự định sẽ tăng giá khóa học trong tương lai gần. Nếu bạn đăng kí sớm (bây giờ chẳng hạn) thì rõ ràng là có lợi hơn rồi!,,,,,Buồn ngủ và đấu tranh với việc không cử động được,5:04,Video,
,,,,,,,,Ngủ trưa: Những điều bạn cần biết,6:08,Video,
,,,,,,,Phần 7: Tổng kết và các bước tiếp theo,,,,
,,,,,,,,Đồ ăn nhanh và kết quả,1:47,Video,
,,,,,,,,Tóm tắt nội dung cốt lõi,12:32,Video,
,,,,,,,,Đưa những điều này đi vào hành động,5:54,Video,
,,,,,,,,Bảng tính về việc mất ngủ của bạn (Trống),Text,Text,
,,,,,,,,Điền vào bảng tính những ví dụ về việc mất ngủ,Text,Text,
,,,,,,,Phần 8: Phiên bản PDF của mỗi module,,,,
,,,,,,,,Nguyên tắc cơ bản của giấc ngủ (PDF),22 slides,Document,
,,,,,,,,Sự biến đổi những nguyên tắc cơ bản của một giấc ngủ sâu,13 slides,Document,
,,,,,,,,"Tìm hiểu sâu hơn về bài tập, sự kiên định và tiếp xúc với ánh sáng",39 slides,Document,
,,,,,,,,Tìm hiểu sâu hơn về tiêu hóa và giấc ngủ,28 slides,Document,
,,,,,,,,Môi trường ngủ và luyện tập phương pháp ngủ tốt nhất,26 slides,Document,
,,,,,,,,"Tỉnh giấc, chợp mắt và ngủ",20 slides,Document,
,,,,,,,,Các tập tin PDF tiếp theo,10 slides,Document,
