Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
,,,,"Thực tế, chỉ trong vòng 6 tháng, bạn sẽ không thể tin rằng mình tiến bộ nhanh và có thể nói tiếng Anh dễ dàng đến thế. Và nếu bạn có quyết tâm cải thiện tiếng Anh thật sự và kiên trì học đến cùng thì Khoá học tiếng anh dành cho người mất căn bản là phương pháp dành cho bạn.",,,,,Tìm hiểu và sử dụng cặp thẻ input phần 2,7:00,Video,https://www.youtube.com/watch?v=R2_w6UAiXhA&index=12&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,"Chúng tôi khẳng định bạn có thể học và nắm vững kiến thức cũng như các kỹ năng tiếng Anh rất dễ dàng. Nếu bạn đã sẵn sàng cho một khởi đầu mới toàn diện, mạnh mẽ, để bắt đầu một phương pháp học tiếng Anh hoàn toàn mới, rất đơn giản và đầy thú vị.",,,,,Tìm hiểu cặp thẻ select và radio,10:00,Video,https://www.youtube.com/watch?v=k7MtbxSTJiw&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=13
,,,,,,,,,Tìm hiểu cặp thẻ textarea,6:00,Video,https://www.youtube.com/watch?v=Nha7bK31y-Q&index=14&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tìm hiểu và sử dụng cặp thẻ frameset,8:00,Video,https://www.youtube.com/watch?v=VcEeu2lTDuE&index=15&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,Chương 2 : Thiết kế website cá nhân nâng cao,,,,
,,,,,,,,,Tạo trang giới thiệu,18:00,Video,https://www.youtube.com/watch?v=DfdFAfvVK4g&index=16&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Xử lý đổi màu text khi click vào button,10:00,Video,https://www.youtube.com/watch?v=arECiY1Bq54&index=17&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tạo trang sở thích,8:00,Video,https://www.youtube.com/watch?v=HsUT57CbWSs&index=18&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tạo trang Project,24:00,Video,https://www.youtube.com/watch?v=qVRKr73eZBY&index=19&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Xây dựng Menu trang chủ,12:00,Video,https://www.youtube.com/watch?v=8EjXkCP3rbE&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=20
,,,,,,,,,Đổi màu menu,13:00,Video,https://www.youtube.com/watch?v=faK-kLqHxWU&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=21
,,,,,,,,,Load nội dung trang tương ứng với mỗi menu,5:00,Video,https://www.youtube.com/watch?v=EbdaTnoIPAk&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=22
