Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
,,,"LƯU Ý: Không quan trọng bạn là ai, bạn bao nhiêu tuổi, thể trạng của bạn như thế nào. Tôi đã từng huấn luyện cho các vận động viên trẻ, các bà mẹ sau sinh, dân văn phòng, những người phụ nữ ở độ tuổi 72+, và những người chưa bao giờ tập thể dục từ khi họ sinh ra.",,,,,Một thủ thuật ăn kiêng đơn giản giúp tăng hiệu quả giảm cân và mỡ thừa.,2:03,Video,
,,,Chương trình giảm cân này đã chứng minh hiệu quả với tất cả những người trên.,,,,,TẶNG KÈM! Học nấu ăn cấp tốc trong 10 ngày,17 slides,Document,
,,,"Họ đều giảm được cân nặng của mình, có được thân hình hoàn hảo nhất nhờ gắn bó với chương trình này",,,,,Tinh chỉnh: Tính toán trọng lượng tối đa bạn cần giảm,7 slides,Document,
,,,VỀ KHÓA HỌC,,,,Phần 3: Tập luyện ít hơn nhưng vẫn đạt kết quả tốt,,,,
,,,- Hơn 21 đánh giá 5 sao,,,,,Tại sao bạn không cần phải đến phòng gym mà vẫn giảm cân?,1:38,Video,
,,,- Không cần kinh nghiệm tập luyện,,,,,Làm thế nào để biến cơ thể bạn trở thành một cỗ máy thiêu đốt mỡ thừa?,2:29,Video,
,,,- Không cần chế độ ăn đặc biệt,,,,,Làm thế nào để tạo ra bài tập giảm cân tại nhà cho riêng bạn?,11 slides,Document,
,,,- Truy cập trọn đời,,,,Phần 4: Những bài tập thổi bay mỡ thừa,,,,
,,,"- Các bài tập sẽ được cập nhật thường xuyên, và tất nhiên, bạn được học miễn phí",,,,,Bài tập 5 phút để giảm mỡ thừa,2:22,Video,
,,,"- Bằng cách tham gia khóa học này, bạn có thể áp dụng ngay chương trình giảm cân cực kì hiệu quả.",,,,,Bài tập bụng trong vòng 10 phút,5:24,Video,
,,,BẠN SẼ HỌC ĐƯỢC:,,,,,Bài tập toàn thân có thể tập mọi nơi,4:37,Video,
,,,- Tại sao những chế độ ăn kiêng phổ biến hay các chương trình tập luyện không làm giảm được cân nặng của bạn?,,,,,Bài tập tim mạch tổng hợp,2:36,Video,
,,,- Điều gì đang thực sự phá hoại vóc dáng và ngăn bạn giảm cân?,,,,,Bài tập cơ thể tổng hợp,1:54,Video,
,,,- Bạn sẽ cần ăn uống như thế nào để giảm cân và thay đổi cơ thể bạn mãi mãi,,,,,Bài tập cân nặng cơ bản,3:55,Video,
,,,- Những thủ thuật đơn giản bạn có thể sử dụng hàng ngày để giảm cân và giảm số đo các vòng,,,,,Bài tập tặng kèm! 100 động tác Halloween,2:23,Video,
,,,- Làm thế nào để có thể đốt cháy calo bằng việc chạy bộ nhiều và giảm cân hiệu quả hơn so với những chương trình khác ?,,,,,Bài tập tặng kèm! Bài tập với tạ,1:38,Video,
,,,- Vì sao tập luyện cơ bắp lại là phương pháp lý tưởng để giảm cân một cách lành mạnh.,,,,,Bài tập toàn thân rút gọn,2:35,Video,
,,,- Làm thế nào để giảm cân mà không cần quan tâm đến việc đo đếm lượng calo?,,,,,Bài tập toàn thân trên bãi biển,1:13,Video,
,,,- Làm thế nào để tạo ra một bữa ăn tiêu chuẩn 5 sao giúp bạn giảm cân,,,,Phần 5: Tài liệu tặng kèm,,,,
,,,- Các ăn gian chế độ ăn kiêng của bạn mà vẫn giảm cân hiệu quả,,,,,Người thật việc thật - Những kết quả đã đạt được.,Text,Text,
,,,- Làm thế nào mà bạn có thể giảm cân nhờ việc tập thể dục ở nhà.,,,,,Tự chuẩn bị bữa ăn tiêu chuẩn 5 sao,Text,Text,
,,,- Làm thế nào để tập luyện ít hơn 80% thời gian mà vẫn giảm cân và luyện tập cơ bắp hiệu quả,,,,,TẶNG KÈM! Liệu các bài tập chạy đã đủ để có một đôi chân chắc khỏe?,5:08,Video,
,,,- Những bài tập tiết kiệm thời gian hàng ngày khác nhau giúp bạn giảm cân và tăng cường cơ bắp,,,,,"Bí quyết để có bắp tay mạnh mẽ, cuồn cuộn!",5:19,Video,
,,,- Và rất rất nhiều điều nữa...,,,,,Câu hỏi thường gặp: Liệu nâng tạ nặng có giúp bạn có một thân hình khủng?,3:14,Video,
,,,"Khi tôi vượt quá 25 cân so với cân năng tiêu chuẩn của mình, tôi hiểu rằng tôi cần phải thay đổi, nhưng tôi không biết bắt đầu từ đâu. Tôi chắc rằng lúc này đây, bạn cũng đang cảm thấy như tôi vậy.",,,,,Sự thật về thực phẩm tăng cường trao đổi chất,3:24,Video,
,,,"Những câu đùa rằng người ta có thể giảm hàng trăm kilogam trong suốt cuộc đời họ là hoàn toàn có thật. Hầu hết chúng ta tập luyện, ăn kiêng để giảm cân, sau đó ăn uống và tăng cân trở lại, nhiều hơn số bạn giảm được.",,,,,"TẶNG KÈM! Ebook ""7 Yếu tố giúp giảm béo hiệu quả""",14 pages,Document,
,,,"Những vòng luẩn quần này sẽ phá hoại cơ thể bạn, sức khỏe của bạn, và khiến bạn luôn mắc kẹt trong nỗ lực giảm cân.",,,,Phần 6: Tổng kết,,,,
,,,"Đến cuối khóa học, bạn sẽ có được mọi thứ bạn cần đề giảm cân, tăng cường cơ bắp ở chân, tay, và cả bụng. Bạn sẽ biết chính xác cách giảm cân, giữ trọng lượng cơ thể ổn định và làm tan chảy tất cả lượng mỡ thừa bạn đã tích trữ trong suốt nhiều năm.",,,,,Bảng tổng kết khóa học,Text,Text,
,,,Một số bài học quan trọng đã được đặt ở chế độ xem thử để bạn có thể xem trước.,,,,,Cơ thể hoàn hảo và hơn thế nữa,3:30,Video,
,,,* Bạn cũng sẽ nhận được những ưu đãi riêng khi bạn đăng ký ngay hôm nay!,,,,,Tiến lên phía trước và phá vỡ giới hạn của bạn,1 page,Document,
,,,Cách hiệu quả để làm bữa ăn tiêu chuẩn 5 sao để giảm cân,,,,Phần 7: Video hướng dẫn tập và các kỹ thuật giảm cân tối ưu,,,,
,,,"Ebook ""7 Yếu tố giúp giảm lượng mỡ thừa""",,,,,Chống đẩy và chống đẩy cải tiến,0:31,Video,
,,,Giành chiến thắng trong cuộc chơi nhờ thực phẩm hỗ trợ giảm cân,,,,,Tập xà,0:14,Video,
,,,"Quà tặng: ""Tổng hợp các động tác giảm cân""",,,,,Các bài tập cố định lưng,1:11,Video,
,,,Một lưu ý nữa trước khi kết thúc: Mỗi phút ngần ngại thực hiện chế độ ăn kiêng và chương trình tập luyện là mỗi lần bạn làm mất đi một cơ hội sở hữu dáng vóc mà bạn đáng có được. Thật ra vóc dáng bạn hằng mong ước đang ở gần bạn hơn bạn nghĩ.,,,,,Squat và lunges - Các bài tập hông và cơ đùi,1:22,Video,
,,,"Đây là phương pháp giảm cân và mỡ thừa tốt hơn những cách mà bạn vẫn thường thấy trên những bản tin và tạp chí. Nếu bạn tìm hiểu về khóa học này ngay bây giờ, bạn sẽ biết những thứ bạn cần để thay đổi cuộc sống.",,,,,Squat với hộp,1:01,Video,
,,,"* Đừng tiếp tục lãng phí sức khỏe của bạn thêm một giây nào nữa, bắt đầu giảm cân ngay, cuộc sống của bạn sẽ thay đổi mãi mãi!",,,,,Squat nâng cao,0:46,Video,
,,,Khóa học này sẽ đem đến cho bạn tất cả những thứ bạn cần đề giảm cân và duy trì trọng lượng đó SUỐT ĐỜI.,,,,,Các bài tập bước chân nâng cao,2:01,Video,
,,,"Hãy nghĩ về điều này: Với mức giá của khóa học, bạn sẽ chỉ có thể tham gia 4 buổi tập luyện cá nhân với tôi, và rồi mọi thứ sẽ trôi vào quên lãng. Chưa kể đến hàng triệu đồng bạn sẽ phải tiêu tốn cho các phòng tập thể hình, tư vấn chế độ dinh dưỡng, và các lớp học.",,,,,Làm chủ cân nặng với Quy Luật 30,1:35,Video,
,,,"Hãy nhớ rằng đây là một cơ hội hoàn toàn có lời để tạo nên sự thay đổi. Nếu bạn không hài lòng trong 30 ngày, bạn sẽ được hoàn trả 100% số tiền.",,,,Phần 8: Những câu hỏi thường gặp và tài liệu tặng kèm,,,,
,,,"Bấm ""MUA KHÓA HỌC"" và bắt đầu giảm cân, giành lấy vóc dáng mà bạn mong ước bấy lâu ngay lúc này.",,,,,Làm thế nào để những thay đổi nhỏ tạo nên kết quả lớn?,2:38,Video,
,,,Tôi rất nóng lòng muốn xem hiệu quả đến với bạn.,,,,,Lý do đồ ăn Mê - xi - cô lại có tác dụng tuyệt vời trong việc giảm cân,1:26,Video,
,,,Hẹn gặp lại bạn trong các bài học.,,,,,4 đồ ăn ưa thích của tôi trong việc giảm cân,1:57,Video,
,,,- Jack Wilson,,,,,Những công cụ giúp bạn kiểm soát cân nặng mọi lúc,2:04,Video,
,,,,,,,,Sự thật về những huấn luyện viên thể hình,1:25,Video,
,,,,,,,,Giày xỏ ngón có thực sự có tác dụng?,1:33,Video,
,,,,,,,,Sai lầm khi giảm cân: Bạn có tập luyện quá nhiều?,5:41,Video,
,,,,,,,,Làm sao để giảm cân theo chế độ ăn kiêng kiểu Ấn?,1:03,Video,
,,,,,,,Phần 9: Nấu nướng và chuẩn bị bữa ăn để giảm cân tối đa,,,,
,,,,,,,,Các món chiên xào dùng để giảm cân,2:22,Video,
,,,,,,,,20 phương pháp thực phẩm bổ dưỡng ,4:03,Video,
,,,,,,,,Món gà hầm đơn giản và ngon tuyệt,1:30,Video,
,,,,,,,,Bữa ăn nhẹ hoàn hảo,6:24,Video,
,,,,,,,,Bữa sáng hoàn hảo để giảm cân,5:10,Video,
,,,,,,,,Giảm cân cho những người nặng khoảng 120 - 150 kg,2:04,Video,
,,,,,,,,Cách triệt tiêu chất béo chỉ trong 5 - 10 phút,2:48,Video,
