Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
,,,,,,,,Nói bạn sẽ làm gì (Phần 1),15:58,Video,
,,,,,,,,Ghi chú,3 trang,Document,
,,,,,,,,Nói bạn sẽ làm gì (Phần 2),8:43,Video,
,,,,,,,,Ghi chú,3 trang,Document,
,,,,,,,,Mời ai đó làm gì,4:52,Video,
,,,,,,,,Ghi chú,2 trang,Document,
,,,,,,,,Món ăn và đồ uống - Phần 1,12:54,Video,
,,,,,,,,Ghi chú,3 trang,Document,
,,,,,,,,Món ăn và đồ uống - Phần 2,9:30,Video,
,,,,,,,,Ghi chú,3 trang,Document,
,,,,,,,,Gọi món và đồ uống,13:48,Video,
,,,,,,,,Ghi chú,3 trang,Document,
,,,,,,,,Mua sắm,13:34,Video,
,,,,,,,,Ghi chú,2 trang,Document,
,,,,,,,,Tiền tệ của người Brazil- cách đổi tiền,5:28,Video,
,,,,,,,,Ghi chú,3 trang,Document,
,,,,,,,,Đổi tiền,5:50,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,,Các trường hợp khẩn cấp về sức khởe,6:39,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,,Trên bãi biển,7:05,Video,
,,,,,,,,Ghi chú,2 trang,Document,
,,,,,,,,Tham quan,6:26,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,,Giả trí,8:33,Video,
,,,,,,,,Ghi chú,2 trang,Document,
,,,,,,,,Tán tỉnh,5:24,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,Chương trình giảng dạy đầy đủ,,,,
