Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,,
,,,,,,Phần 3: Sử dụng sự kết nối giữa cơ thể và tâm trí bằng một cách tích cực,,,
,,,,,,,Bài tập thở SUDS,2 pages,
,,,,,,,Bài tập thở,10:59,
,,,,,,,Những mẹo bí mật của tôi,1:25,
,,,,,,,Ghi chú về các mẹo bí mật,1 page,
,,,,,,Phần 4: Loại bỏ cơn giận dữ khỏi cuộc sống của bạn ngay bây giờ,,,
,,,,,,,Khước từ trách nhiệm,,0:21
,,,,,,,Phép loại bỏ cơn giận bằng SUDS,,2 pages
,,,,,,,Giận dữ là gì và nó ảnh hưởng đến bạn như thế nào,,2:27
,,,,,,,Phương pháp giải phóng cảm xúc sử dụng SUDS cho cơn giận đó,,2:15
,,,,,,,Phương pháp giải phóng cảm xúc sử dụng màu sắc và hình thái cho cơn giận đó,,5:16
,,,,,,,Phương pháp giải phóng cảm xúc sử dụng thì quá khứ cho cơn giận đó,,5:14
,,,,,,,[Subjective Units of Distress Scale],,1 question
,,,,,,Phần 5: Dọn sạch khu vườn của tâm trí,,,
,,,,,,,Quét sạch SUDS,,2 pages
,,,,,,,Quét sạch với Phương pháp giải phóng cảm xúc,,3:15
,,,,,,,Quét sạch mọi cảm xúc tồn đọng với phương pháp giải phóng cảm xúc,,
,,,,,,,Quét sạch và trở nên tốt hơn với Phương pháp giải phóng cảm xúc,,
,,,,,,Phần 6: Loại bỏ một tâm trí bực bội với Thôi miên.,,,
,,,,,,,Hướng dẫn sử dụng phần Thôi miên,,
,,,,,,,Thôi miên để loại bỏ bực tức,,
,,,,,,Phần 7: Các nguồn tặng thêm,,,
,,,,,,,Tải xuống các nguồn tặng thêm,,
,,,,,,Phần 8: Buổi tập huấn,,,
,,,,,,,Buổi tập huấn (bản xem trước) ,,
,,,,,,,Bản kết quả,,
