Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,
,,,,,,,Giảm giá lớn
,,,,,,,Dòng kẻ
,,,,,,Phần 4: Lời khuyên và nhắn nhủ,
,,,,,,,Làm sao để được chữa bệnh miễn phí
,,,,,,,1 điều luôn nhớ về  nhà nghỉ
,,,,,,,Lời khuyên về chuyến đi trong ngày
,,,,,,,Làm sao để tìm được bãi biển đẹp nhất
,,,,,,,Tại sao tôi thích sân bay
,,,,,,,Đường băng ở sân bay
,,,,,,,Lên ngân sách 
,,,,,,Phần 5: Đặt vé máy bay giá vẻ,
,,,,,,,Giới thiệu về máy bay giá rẻ
,,,,,,,2 vé rẻ hơn 1?
,,,,,,,Làm thẻ thành viên
,,,,,,,Chuyến bay xuyên lục địa
,,,,,,,Tính nhât quán
,,,,,,,Ví dụ về máy bay giá rẻ
,,,,,,,Máy bay giá rẻ ví dụ trong PDF
,,,,,,Phần 6: tạo động lực và cài đặt tư duy,
,,,,,,,Giới thiệu - tạo động lực và cài đặt tư duy
,,,,,,,Tại sao đi giúp lịch khiến bạn trở nên tốt hơn?
,,,,,,,Du lịch làm cho bạn đổi mới chính mình
,,,,,,,Làm sao để có thái độ tích cực
,,,,,,,Học từ các địa điểm du lịch
,,,,,,Phần 7: xóa tan sự sợ hãi và quan niệm sai lầm,
,,,,,,,Giới thiệu về xóa tán ự sợ hãi và quan niệm sai lầm
,,,,,,,"Đi du lịch rất nguy hiểm, có thật vậy không?"
,,,,,,,Sự nguy hiểm trong nhận thức và Sự nguy hiểm trong thực tế
,,,,,,,Sự thật về những người ở các quốc gia đang phát triển
,,,,,,,Tôi không thể du lịch vì có quá nhiều công việc
,,,,,,Phần 8: du lịch 1 mình,
,,,,,,,Giới thiệu về du lịch một mình
,,,,,,,Cảm thấy cô độc
,,,,,,,Làm sao để con gái có thể du lịch 1 mình
,,,,,,,Mẹo đối với nữ du khách
,,,,,,,Làm sao để kiếm bạn trên bãi biển
,,,,,,Phần 9: kết bạn với người nước ngoài và tăng nhanh các mối quan hệ xã hội,
,,,,,,,Học những cụm từ đơn giản
,,,,,,,Bạn cần nói gì và nói như thế nào
,,,,,,,Làm sao để khiến họ cảm thấy đặc biệt
,,,,,,,Lời khuyên thú vị cho những hành khach sức khỏe yếu
,,,,,,Phần 10: Bonus: Mặc cả với những người bán hàng ở chợ trời,
,,,,,,,Giới thiệu
,,,,,,,Đừng thể hiện quá nhiều sự thích thú
,,,,,,,Sức mạnh của sự quan sát
,,,,,,,Cho họ nhìn thấy tiền
,,,,,,,"Cảnh sát tốt, xấu"
,,,,,,,Trước khi bạn nhìn vào thẻ giá
,,,,,,,Cái gì và Có thể
,,,,,,Phần 11: Hỏi đáp,
,,,,,,,Giới thiệu
,,,,,,,Tài nguyên miễn phí khác bạn có thể sử dụng
,,,,,,,Cảm ơn
,,,,,,,bài 12: Tặng thêm: phiên bản AUDIO cho MP3/Ipod
,,,,,,,Làm sao để tìm được bãi biển tốt nhất
,,,,,,,Nói những câu như người bản xứ nói như thế nào
,,,,,,,Lập ngân sách như thế nào
,,,,,,,Kiêm tiền trên thế giới
,,,,,,,Đặt vé máy bay giá rẻ
,,,,,,,2 vé rẻ hơn 1?
,,,,,,,Lời khuyên cho chuyến du lịch trong ngày
,,,,,,,Những điều cần nhớ khi rời khách sạn
,,,,,,,Cảm thấy cô độc
,,,,,,,Vài câu nói khiến bạn an toàn
,,,,,,,Làm thẻ thành viên
,,,,,,,Làm sao để được chữa bệnh miến phí
,,,,,,,Xây dựng quan hệ với người dân địa phương
,,,,,,,Tiền có thể giúp bạn an toàn như thế nào
,,,,,,,"Tôi là nữ du khách, làm sao để tôi được an toàn\\"
,,,,,,,Làm sao để làm quen được người khác trên bãi biển
,,,,,,,Du lịch trái mùa - chi phí thấp
,,,,,,,An toàn - đừng giữ quá nhiều đồ giá trị tại 1 chỗ
,,,,,,,Sức mạnh của túi bí mật
,,,,,,,"Đi du lịch rất nguy hiểm, có thật vậy không?"
,,,,,,,Làm thế nào để không cần dùng đến bản đồ - du lịch an toàn
,,,,,,,Tại sao du lịch trái mùa có thể rất tuyệt
