Name,Sub-title,Miêu tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Một nhiệm vụ khó khăn trong ngày,3:38
,,,,,,,Tim Ferriss đã sử dụng định luật 80/20 như thế nào để nhân đôi thu nhập và  giảm giờ làm,6:25
,,,,,,,Thời gian biểu_ Bạn sẽ bị sốc,4:16
,,,,,,Phần 4: Trau dồi tư duy năng suất,,
,,,,,,,"Đừng chờ cảm hứng xuất hiện, hãy tự tạo ra nó ngay bây giờ",2:55
,,,,,,,Yếu tố đột phá,4:13
,,,,,,,"Dừng tìm hiểu, bắt đầu thực hiện ",2:57
,,,,,,,Thời gian rảnh không có nghĩa là thời gian chết,3:45
,,,,,,,Tự động hóa những quyết định nhỏ,3:02
,,,,,,,Có cái nhìn nhanh chóng,1 page
,,,,,,Phần 5: Nghi lễ buổi sáng và tối,,
,,,,,,,Giời thiệu,2:35
,,,,,,,Bước 1: Tình trạng thể chất của bạn ,5:07
,,,,,,,"Bước 2: Hãy biết ơn
Xem trước",7:21
,,,,,,,Bước 3: Hình dung mục tiêu của bạn và điêù kiện để thành công,2:56
,,,,,,,Sức mạnh của thói quen,4:40
,,,,,,,Nghi lễ buổi tối,1:24
,,,,,,,Thành quả buổi tối,2:12
,,,,,,,Lên kế hoạch cho một ngày vào đêm trước đó,2:27
,,,,,,Phần 6: lãng phí thời gian và sự gián đoạn ,,
,,,,,,,Sự gián đoạn lịch trình,4:51
,,,,,,,Sự gián đoạn bên ngoài ,2:35
,,,,,,Phần 7: Bạn có thể mua được nhiều thời gian hơn - điều kì diệu của thuê ngoài,,
,,,,,,,Thuê ngoài- nó được vận hành như thế nào ,2:44
,,,,,,,Giá cả thì như thế nào?,4:50
,,,,,,,nhiệm vụ của bạn ,6:19
,,,,,,,Ví dụ của tôi,4:31
,,,,,,Phần 8: Xóa bỏ sự trì hoãn,,
,,,,,,,Loại bỏ sự trì hoãn với một hành động đơn giản này,4:03
,,,,,,,Thực hiện tốt một vài việc không quan trọng không làm cho nó trở nên quan trọng ,3:31
,,,,,,,Chia những nhiệm vụ lớn thành các việc nhỏ ,3:38
,,,,,,,Danh sách những việc KHÔNG ĐƯỢC LÀM,2:51
,,,,,,,chủ nghĩa bi quan thiết thực,3:40
,,,,,,,"nguyên lý của Parkinson
Xem trước",5:40
,,,,,,Phần 9: Khái niệm TẶNG KÈM_ cập nhật thường xuyên,,
,,,,,,,Sức mạnh bí mật của những giấc ngủ trưa,7:51
,,,,,,,Nghệ thuật của Việc không hoàn thành,4:16
,,,,,,,Họp- làm thế nào để nó có lợi cho bạn,2:27
,,,,,,,Khi nào bạn không nên check thư điện tử nữa,2:17
,,,,,,Phần 10: Phần mềm năng suất,,
,,,,,,,Tại sao lại là phần mềm năng suất,1:09
,,,,,,,Phần mềm năng suất PDF,7 pages
,,,,,,Phần 11: Bản audio cho máy MP3 và ipod,,
,,,,,,,định luật 80-20 _AUDIO,3:10
,,,,,,,Tự động hóa những quyết định nhỏ_ AUDIO,3:02
,,,,,,,Yếu tố đột phá_ AUDIO,4:13
,,,,,,,Thói quen buổi sáng BƯỚC 2 - Hãy biết ơn AUDIO,7:21
,,,,,,,Thói quen buổi sáng BƯỚC 3_ Những mục tiêu _AUDIO,2:56
,,,,,,,làm thế nào để loại bỏ sự trì hoãn _AUDIO,4:03
,,,,,,,Thành quả buổi tối _AUDIO,2:12
,,,,,,,Ai cũng có thể trở thành người làm việc năng suất AUDIO,3:55
,,,,,,,Thời gian rảnh không có nghĩa là thời gian chết _AUDIO,3:45
,,,,,,,Thiết lập mục tiêu_ Jordan Belfort đã dạy tôi những gì? _AUDIO,3:43
,,,,,,,Họp _ AUDIO,2:27
,,,,,,,Giới thiệu thói quen buổi sớm_ AUDIO,2:35
,,,,,,,Thói quen buổi tối _ Súc mạnh của thói quen _AUDIO,4:40
,,,,,,,Khi bạn không nên check thư điện tử nữa _AUDIO,2:17
,,,,,,,DANH SÁCH NHỮNG VIỆC KHÔNG ĐƯỢC LÀM _AUDIO,2:51
,,,,,,,Mỗi nhiệm vụ một ngày AUDIO,3:38
,,,,,,,Thói quen buổi sáng BƯỚC 1_tình trạng thể chất AUDIO,5:07
,,,,,,,nguyên lý của Parkinson_AUDIO,5:40
,,,,,,,Lên kế hoạch cho một ngày vào đêm trước đó_AUDIO,2:27
,,,,,,,Sức mạnh của giấc ngủ trưa_AUDIO,7:51
,,,,,,,chủ nghĩa bi quan thiết thực AUDIO,3:40
,,,,,,,Những thứ có vẻ quan trọng AUDIO,3:31
,,,,,,,Kích hoạt các nguồn cảm hứng,2:55
