name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng của khóa học này là ai?,Chương trình học,,
,,,,,,,Mở rộng vùng thư giãn của bạn,8:03
,,,,,,,Thử thách thư giãn 1,2:46
,,,,,,Phần 3: Phát triên tư duy mạnh mẽ,,
,,,,,,,Video tặng kèm MỚI - Đối mặt với những nỗi sợ của bạn,6:42
,,,,,,,Những mối quan hệ tác động thế nào đến tư duy của bạn,8:07
,,,,,,,Cảm thấy giống như một người CHIẾN THẮNG (1/2),7:51
,,,,,,,Cảm thấy giống như một người CHIẾN THẮNG (2/2),7:17
,,,,,,,Tôi rất tuyệt!,4:27
,,,,,,,Thử thách thư giãn 2,2:54
,,,,,,,Sức mạnh của những cuốn sách audio,4 trang
,,,,,,,Nhìn chung ,1 trang
,,,,,,Phần 4: Đẩy mạnh sự chuyển đổi của bạn,,
,,,,,,,Trở thành một diễn viên,5:37
,,,,,,,Đừng đi theo vết xe đổ 1/2,4:37
,,,,,,,Đừng đi theo vết xe đổ 2/2,5:02
,,,,,,,Thử thách thư giãn 3,2:13
,,,,,,Phần 5: Sự tự tin xã hội & sự tự tin nhận thức,,
,,,,,,,Chiến lược cơ bản để thúc đẩy sự tự tin xã hội của bạn,9:45
,,,,,,,TẶNG KÈM (28/04/2014) Những con người được ngợi khen!,4:39
,,,,,,,Tăng thêm sự tối giản 1/2,10:02
,,,,,,,Tăng thêm sự tối giản 2/2,6:07
,,,,,,,Luôn luôn chuẩn bị 1/2,5:14
,,,,,,,Luôn luôn chuẩn bị 1/2,7:10
,,,,,,,Những câu chuyện về dự án giá trị cao,8 trang
,,,,,,,Giao tiếp bằng mắt,7:01
,,,,,,,Mẹo điện thoại 1/2,3:30
,,,,,,,Mẹo điện thoại 2/2,7:04
,,,,,,,Thử thách thư gian cuối cùng,8:51
,,,,,,Phần 6: TẶNG KÈM: Các mẹo cơ bản - Tác dụng khổng lồ,,
,,,,,,,TẶNG KÈM 24/10/2014 Làm thế nào để tiêu diệt tinh thần tiêu cực,9:07
,,,,,,,Làm thế nào để tham gia được bất kỳ câu lạc bộ nào (miễn phí) - Chìa khóa để trở thành một người quan trọng (VIP),5:37
,,,,,,,Vượt qua những niềm tin giới hạn - Cuộc sống rất ngắn,1:48
,,,,,,,3 bước để đến với thành công - 15 phút nghi thức buối sáng 1/2,2:59
,,,,,,,3 bước để đến với thành công - 15 phút nghi thức buối sáng 2/2,3:02
,,,,,,,"""Xin chào người bạn cũ""",4:36
,,,,,,,Cám ơn!,2:11
,,,,,,Phần 7: TẶNG KÈM tháng 5 2015,,
,,,,,,,Tặng kèm tháng 5 - 1,4:43
,,,,,,,Tặng kèm tháng 5 - 2,5:22
,,,,,,,Tặng kèm tháng 5 - 3,4:35
,,,,,,,Tặng kèm tháng 5 - 4,3:06
,,,,,,Phần 8: Mới! Phiên bản dạng tiếng mới cho máy nghe nhạc MP3/iPod của bạn,,
,,,,,,,Giới thiệu về những thử thách thư giãn DẠNG TIẾNG,8:03
,,,,,,,Thử thách thư giãn 1 DẠNG TIẾNG,2:44
,,,,,,,Thử thách thư giãn 2 DẠNG TIẾNG,2:54
,,,,,,,Thử thách thư giãn 3 DẠNG TIẾNG,2:13
,,,,,,,Thử thách thư giãn cuối cùng DẠNG TIẾNG,8:51
,,,,,,,Luôn luôn chuẩn bị phần 1 DẠNG TIẾNG,5:14
,,,,,,,Luôn luôn chuẩn bị phần 2 DẠNG TIẾNG,7:10
,,,,,,,Trở thành một diễn viên DẠNG TIẾNG,5:37
,,,,,,,Tôi cảm thấy tuyệt! DẠNG TIẾNG,4:27
,,,,,,,Đừng đi lại vào vết xe đổ phần 1 DẠNG TIẾNG,4:37
,,,,,,,Đừng đi lại vào vết xe đổ phần 2 DẠNG TIẾNG,5:02
,,,,,,,Vì sao tôi tuyệt DẠNG TIẾNG,8:05
,,,,,,,Cám giác giống như một người CHIẾN THẮNG phần 1 DẠNG TIẾNG,7:51
,,,,,,,Cám giác giống như một người CHIẾN THẮNG phần 2 DẠNG TIẾNG,7:17
,,,,,,,Tăng thêm sự tối giản phần 1 DẠNG TIẾNG,10:02
,,,,,,,Tăng thêm sự tối giản phần 2 DẠNG TIẾNG,6:07
,,,,,,,Dừng việc tìm kiếm sự chấp nhận DẠNG TIẾNG,4:59
